Name,BuildingId,DisplayName,Category,BuildingActorClass,ConstructionSiteActorClass,BuildWorkId,Footprint,ZOffset,ThumbnailIcon,Description,RequiredResearchIds,AutoWorks,WorkSiteTags,StorageWeightCapacity,StorageVolumeCapacity,PageCapacity,CaptiveCapacity
WoodenKitchen,WoodenKitchen,Wooden Kitchen,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_WoodenKitchen,"(X=300,Y=200)",0,,Prepares food for the settlement meal service.,(),(),(Cooking),0,0,0,0
StoneDormitory,StoneDormitory,Stone Dormitory,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_StoneDormitory,"(X=600,Y=500)",0,,Durable stone lodging that supports six Pages.,(),(),(),0,0,6,0
StoneWatchtower,StoneWatchtower,Stone Watchtower,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_StoneWatchtower,"(X=300,Y=300)",0,,A raised post for observing portals and approaching raids.,(),(),(Watch),0,0,0,0
StoneWall,StoneWall,Stone Wall,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_StoneWall,"(X=200,Y=100)",0,,A durable defensive wall section made from stone.,(),(),(),0,0,0,0
WoodenWall,WoodenWall,Wooden Wall,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_WoodenWall,"(X=200,Y=100)",0,,A quick wooden wall section for early perimeter defense.,(),(),(),0,0,0,0
StoneGate,StoneGate,Stone Gate,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_StoneGate,"(X=300,Y=100)",0,,A reinforced stone gate for a defended settlement entrance.,(),(),(),0,0,0,0
WoodenGate,WoodenGate,Wooden Gate,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_WoodenGate,"(X=300,Y=100)",0,,A basic wooden gate for controlling settlement access.,(),(),(),0,0,0,0
Smelter,Smelter,Smelter,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Smelter,"(X=400,Y=400)",0,,Refines copper and gold into useful metal forms.,(CopperMetallurgy),(),(Smelting),0,0,0,0
PrecisionWorkshop,PrecisionWorkshop,Precision Workshop,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_PrecisionWorkshop,"(X=400,Y=300)",0,,Produces precise copper components and field instruments.,(PrecisionEngineering),(),(PrecisionCrafting),0,0,0,0
Laboratory,Laboratory,Laboratory,Research,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Laboratory,"(X=500,Y=400)",0,,A laboratory for sustained mid-tier research work.,(GoldTheory),(),(Research),0,0,0,0
PortalObservatoryPost,PortalObservatoryPost,Portal Observatory Post,Research,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_PortalObservatoryPost,"(X=300,Y=300)",0,,Observes portal activity and records incoming dungeon data.,(PortalObservation),(),(PortalObservation),0,0,0,0
CopperWall,CopperWall,Copper Wall,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_CopperWall,"(X=200,Y=100)",0,,A conductive reinforced wall for advanced defenses.,(),(),(),0,0,0,0
CopperDormitory,CopperDormitory,Copper Dormitory,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_CopperDormitory,"(X=700,Y=500)",0,,Improved lodging that supports eight Pages.,(),(),(),0,0,8,0
CopperWarehouse,CopperWarehouse,Copper Warehouse,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_CopperWarehouse,"(X=500,Y=500)",0,,A lockable warehouse for valuable metal and research goods.,(),(),(),2000,3500,0,0
CopperDetentionRoom,CopperDetentionRoom,Copper Detention Room,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_CopperDetentionRoom,"(X=400,Y=300)",0,,A secure detention room that holds four captives.,(),(),(),0,0,0,4
Clinic,Clinic,Clinic,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Clinic,"(X=400,Y=300)",0,,A clinic for treating rescued Pages and recovering patients.,(AppliedMedicine),(),(Medical),0,0,0,0
IronWorks,IronWorks,Iron Works,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_IronWorks,"(X=600,Y=500)",0,,Refines iron and fabricates heavy industrial components.,(Ironworking),(),(Ironworking),0,0,0,0
CoalCokeOven,CoalCokeOven,Coal Coke Oven,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_CoalCokeOven,"(X=400,Y=400)",0,,Processes coal into high-temperature coke fuel.,(CoalCoking),(),(CokeProcessing),0,0,0,0
Furnace,Furnace,Furnace,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Furnace,"(X=500,Y=500)",0,,A high-temperature furnace for steel and heavy production.,(Steelmaking),(),(Steelworking),0,0,0,0
AdvancedWorkbench,AdvancedWorkbench,Advanced Workbench,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_AdvancedWorkbench,"(X=400,Y=300)",0,,Builds advanced tools weapons and mechanical parts.,(IndustrialCrafting),(),(AdvancedCrafting),0,0,0,0
ReinforcedWarehouse,ReinforcedWarehouse,Reinforced Warehouse,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_ReinforcedWarehouse,"(X=700,Y=700)",0,,A steel-reinforced warehouse for heavy and valuable stock.,(),(),(),5000,6000,0,0
SteelWall,SteelWall,Steel Wall,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_SteelWall,"(X=200,Y=100)",0,,A strong steel wall section for serious raid defense.,(),(),(),0,0,0,0
Prison,Prison,Prison,Structure,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Prison,"(X=600,Y=500)",0,,A high-security prison that holds ten captives.,(Fortification),(),(),0,0,0,10
Barracks,Barracks,Barracks,Military,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Barracks,"(X=600,Y=500)",0,,Military lodging that supports eight defensive Pages.,(Fortification),(),(Defense),0,0,8,0
SteamGenerator,SteamGenerator,Steam Generator,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_SteamGenerator,"(X=500,Y=400)",0,,Converts coal fuel into settlement power for later systems.,(PowerEngineering),(),(PowerGeneration),0,0,0,0
OilExtractor,OilExtractor,Oil Extractor,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_OilExtractor,"(X=600,Y=600)",0,,Extracts petroleum from secured petroleum core components.,(PetroleumExtraction),(),(OilExtraction),0,0,0,0
Refinery,Refinery,Refinery,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Refinery,"(X=700,Y=600)",0,,Refines petroleum into fuel and plastil feedstock.,(PetroleumRefining),(),(Refining),0,0,0,0
Battery,Battery,Battery Workshop,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_Battery,"(X=400,Y=300)",0,,Assembles battery cells for portable and automated systems.,(PowerEngineering),(),(BatteryCrafting),0,0,0,0
AutomatedTurret,AutomatedTurret,Automated Turret,Defense,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_AutomatedTurret,"(X=200,Y=200)",0,,An automated defense unit for later inverse raids.,(Automation),(),(AutomatedDefense),0,0,0,0
CopperMine,CopperMine,Copper Mine,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_CopperMine,"(X=500,Y=500)",0,,Produces copper indefinitely while Pages are assigned.,(CopperProspecting),"((WorkId=""Mine_Copper"",Priority=5,InitialCount=1,bRepeat=true))",(CopperMining),0,0,0,0
GoldMine,GoldMine,Gold Mine,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_GoldMine,"(X=500,Y=500)",0,,Produces gold indefinitely while Pages are assigned.,(GoldProspecting),"((WorkId=""Mine_Gold"",Priority=5,InitialCount=1,bRepeat=true))",(GoldMining),0,0,0,0
IronMine,IronMine,Iron Mine,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_IronMine,"(X=600,Y=600)",0,,Produces iron indefinitely while Pages are assigned.,(IronDeepMining),"((WorkId=""Mine_Iron"",Priority=5,InitialCount=1,bRepeat=true))",(IronMining),0,0,0,0
CoalMine,CoalMine,Coal Mine,Production,/Game/Blueprints/BP_TestBuilding.BP_TestBuilding_C,/Game/Blueprints/BP_TestConstructionSite.BP_TestConstructionSite_C,Construct_CoalMine,"(X=600,Y=600)",0,,Produces coal indefinitely while Pages are assigned.,(CoalDeepMining),"((WorkId=""Mine_Coal"",Priority=5,InitialCount=1,bRepeat=true))",(CoalMining),0,0,0,0
